# Created by Octave 10.2.0, Fri Jul 18 23:36:01 2025 CEST <thomas@thomas-titanium>
# name: C
# type: matrix
# rows: 86
# columns: 2
 -0.39999999999999991 -178.36949200000001
 -0.34999999999999998 -178.36949200000001
 -0.29999999999999993 -178.36949200000001
 -0.25 -178.36949200000001
 -0.19999999999999996 -178.36949200000001
 -0.14999999999999991 -178.36949200000001
 -0.099999999999999978 -170.042145
 -0.049999999999999933 -152.43383800000001
 0 -135.09741199999999
 0.050000000000000044 -124.184685
 0.10000000000000009 -110.96528600000001
 0.15000000000000013 -107.936691
 0.20000000000000018 -103.416611
 0.25 -97.162682000000004
 0.30000000000000004 -97.152901
 0.35000000000000009 -108.047974
 0.40000000000000013 -115.76309999999999
 0.45000000000000018 -122.50303599999999
 0.5 -115.33693700000001
 0.55000000000000004 -115.300819
 0.60000000000000009 -115.3022
 0.65000000000000013 -115.308289
 0.70000000000000018 -115.55317700000001
 0.75 -115.76309999999999
 0.80000000000000004 -115.69373299999999
 0.85000000000000009 -115.33693700000001
 0.90000000000000013 -115.76309999999999
 0.95000000000000018 -118.751907
 1 -115.69373299999999
 1.0500000000000003 -113.87863900000001
 1.1000000000000001 -114.28797900000001
 1.1499999999999999 -124.153351
 1.2000000000000002 -114.19264200000001
 1.25 -115.308289
 1.3000000000000003 -115.364571
 1.3500000000000001 -115.328033
 1.4000000000000004 -113.82444
 1.4500000000000002 -115.627724
 1.5 -115.322029
 1.5500000000000003 -115.627724
 1.6000000000000001 -115.792603
 1.6500000000000004 -115.364571
 1.7000000000000002 -115.375061
 1.75 -128.168961
 1.8000000000000003 -144.89622499999999
 1.8500000000000001 -124.479446
 1.9000000000000004 -123.517937
 1.9500000000000002 -121.710594
 2 -123.96405799999999
 2.0500000000000003 -124.19725
 2.1000000000000001 -124.550438
 2.1500000000000004 -115.364571
 2.2000000000000002 -123.00254099999999
 2.25 -115.30748699999999
 2.3000000000000003 -115.3022
 2.3500000000000001 -115.3022
 2.4000000000000004 -128.71839900000001
 2.4500000000000002 -114.32621
 2.5 -115.33693700000001
 2.5500000000000003 -123.925354
 2.6000000000000001 -123.69451100000001
 2.6500000000000004 -131.48675499999999
 2.7000000000000002 -129.29628
 2.75 -129.310562
 2.8000000000000003 -123.96405799999999
 2.8500000000000001 -140.714462
 2.9000000000000004 -145.21594200000001
 2.9500000000000002 -123.98580200000001
 3 -145.09497099999999
 3.0499999999999998 -119.72313699999999
 3.1000000000000005 -121.732506
 3.1500000000000004 -144.77702300000001
 3.2000000000000002 -144.978745
 3.25 -142.163635
 3.2999999999999998 -121.925842
 3.3500000000000005 -127.92517100000001
 3.4000000000000004 -120.647148
 3.4500000000000002 -127.886993
 3.5 -115.375061
 3.5499999999999998 -123.733841
 3.6000000000000005 -128.02742000000001
 3.75 -126.92538500000001
 3.8000000000000007 -116.921761
 3.8500000000000005 -115.310997
 3.9000000000000004 -114.07854500000001
 3.9500000000000002 -124.071251


